"","kind","spec","prolific_id","response","response_corrected","source"
"1","natural kind","Water","60ff265ad0d04a091f893b0b","Both","both","senses"
"2","natural kind","Water","6229dcc610fc8c78c0854951","Both","both","senses"
"3","natural kind","Water","6133b177de3bb431932aad6c","Is not","is_not","senses"
"4","natural kind","Water","610602fcc8c22d54eba47b91@email.prolific.co","Both","both","senses"
"5","natural kind","Water","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"6","natural kind","Water","5a863fb8f1408d0001768afa","Both","both","senses"
"7","natural kind","Water","614726b73ab8022a9edc7f45","Both","both","senses"
"8","natural kind","Water","614f2dbd8a5fdf9347f1cd49","Both","both","senses"
"9","natural kind","Water","5eeadfc8f9a5a9206e2a5841","Both","both","senses"
"10","natural kind","Water","6011d2b8b124c219f57c707e@email.prolific.co","Both","both","senses"
"11","natural kind","Water","5c7bc3509eabe400016d4900","Both","both","senses"
"12","natural kind","Water","5a6107bb31b87a0001c6c49b","Both","both","senses"
"13","natural kind","Water","5b79e92cdb11320001c3d5da","Both","both","senses"
"14","natural kind","Water","5f2bffa8d4f0d601244ab240","Both","both","senses"
"15","natural kind","Water","5f032a785c37574d93dc2fcc","Is not","is_not","senses"
"16","natural kind","Water","6090ac299f401568994bd6aa","Both","both","senses"
"17","natural kind","Water","5ae1e99638df950001454b0e","Both","both","senses"
"18","natural kind","Water","5c38dab0f0ae4c00011238c1","Both","both","senses"
"19","natural kind","Water","5bc0cacb228a7600013cf77e","Both","both","senses"
"20","natural kind","Water","60fd2a06fcc9e802dd5fd7b7","Both","both","senses"
"21","natural kind","Water","5db6fa3b20430d000d2eb752","Is not","is_not","senses"
"22","natural kind","Water","5c85883136f2450001c86ba9","Both","both","senses"
"23","natural kind","Water","606aa384e190cbb5947ed6ae","Both","both","senses"
"24","natural kind","Water","5f2f0ace37658a2e315c4875","Both","both","senses"
"25","natural kind","Water","5e2b3472339bae18089f9c6d","Is not","is_not","senses"
"26","natural kind","Water","5996cafd0ed7ae000199171d","Both","both","senses"
"27","natural kind","Water","60fcf7e8002c2c1b89b03b30","Both","both","senses"
"28","natural kind","Water","5fc175e1e8b4d40e74b123b3","Both","both","senses"
"29","natural kind","Water","5e4d94e8ee0d4509aacdfbc8","Is not","is_not","senses"
"30","natural kind","Water","601958c0af6453017a0cbbd4","Both","both","senses"
"31","natural kind","Water","5c16c04cd0194b0001e693f0","Both","both","senses"
"32","natural kind","Water","5c68037e4ecdae0001d8b480","Both","both","senses"
"33","natural kind","Water","60c298f8c2328dfe272401d2","Is","is","senses"
"34","natural kind","Water","610711d4c064313c758fe4c2","Both","both","senses"
"35","natural kind","Water","6095dae9237f2262b67d51b5","Both","both","senses"
"36","natural kind","Water","60c3c8f790736ad8d329816b","Both","both","senses"
"37","natural kind","Water","5fe70a2be144224fce79b148","Both","both","senses"
"38","natural kind","Water","609d1224afa6945618b68f1f","Both","both","senses"
"39","natural kind","Water","5f56a6646e11c111125188bc","Both","both","senses"
"40","natural kind","Water","611cdb36b5b791e2174ee88b","Both","both","senses"
"41","natural kind","Water","5f68d4c59b202b055cc873e5","Is not","is_not","senses"
"42","natural kind","Water","5ce7046a9390750017b64ac6","Both","both","senses"
"43","natural kind","Water","5f7636517eea510aeb2e8433","Both","both","senses"
"44","natural kind","Water","5e52e5e02d48ca3042df7f25","Is not","is_not","senses"
"45","natural kind","Water","5e5bd0b15bb3123a2e2a2c07","Is not","is_not","senses"
"46","natural kind","Water","5c5b50e8fbf35700018c8dde","Both","both","senses"
"47","natural kind","Water","627e79a6e1f2b10601861ca6","Both","both","senses"
"48","natural kind","Water","600713a1ef06551629886703","Is not","is_not","senses"
"49","control subjective adjective","Spicy","60ff265ad0d04a091f893b0b","Both","both","senses"
"50","control subjective adjective","Spicy","6229dcc610fc8c78c0854951","Both","both","senses"
"51","control subjective adjective","Spicy","6133b177de3bb431932aad6c","Both","both","senses"
"52","control subjective adjective","Spicy","610602fcc8c22d54eba47b91@email.prolific.co","Both","both","senses"
"53","control subjective adjective","Spicy","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"54","control subjective adjective","Spicy","5a863fb8f1408d0001768afa","Both","both","senses"
"55","control subjective adjective","Spicy","614726b73ab8022a9edc7f45","Both","both","senses"
"56","control subjective adjective","Spicy","614f2dbd8a5fdf9347f1cd49","Both","both","senses"
"57","control subjective adjective","Spicy","5eeadfc8f9a5a9206e2a5841","Is","is","senses"
"58","control subjective adjective","Spicy","6011d2b8b124c219f57c707e@email.prolific.co","Both","both","senses"
"59","control subjective adjective","Spicy","5c7bc3509eabe400016d4900","Both","both","senses"
"60","control subjective adjective","Spicy","5a6107bb31b87a0001c6c49b","Both","both","senses"
"61","control subjective adjective","Spicy","5b79e92cdb11320001c3d5da","Is","is","senses"
"62","control subjective adjective","Spicy","5f2bffa8d4f0d601244ab240","Both","both","senses"
"63","control subjective adjective","Spicy","5f032a785c37574d93dc2fcc","Both","both","senses"
"64","control subjective adjective","Spicy","6090ac299f401568994bd6aa","Both","both","senses"
"65","control subjective adjective","Spicy","5ae1e99638df950001454b0e","Both","both","senses"
"66","control subjective adjective","Spicy","5c38dab0f0ae4c00011238c1","Both","both","senses"
"67","control subjective adjective","Spicy","5bc0cacb228a7600013cf77e","Both","both","senses"
"68","control subjective adjective","Spicy","60fd2a06fcc9e802dd5fd7b7","Both","both","senses"
"69","control subjective adjective","Spicy","5db6fa3b20430d000d2eb752","Both","both","senses"
"70","control subjective adjective","Spicy","5c85883136f2450001c86ba9","Both","both","senses"
"71","control subjective adjective","Spicy","606aa384e190cbb5947ed6ae","Both","both","senses"
"72","control subjective adjective","Spicy","5f2f0ace37658a2e315c4875","Both","both","senses"
"73","control subjective adjective","Spicy","5e2b3472339bae18089f9c6d","Both","both","senses"
"74","control subjective adjective","Spicy","5996cafd0ed7ae000199171d","Both","both","senses"
"75","control subjective adjective","Spicy","60fcf7e8002c2c1b89b03b30","Both","both","senses"
"76","control subjective adjective","Spicy","5fc175e1e8b4d40e74b123b3","Is","is","senses"
"77","control subjective adjective","Spicy","5e4d94e8ee0d4509aacdfbc8","Both","both","senses"
"78","control subjective adjective","Spicy","601958c0af6453017a0cbbd4","Both","both","senses"
"79","control subjective adjective","Spicy","5c16c04cd0194b0001e693f0","Both","both","senses"
"80","control subjective adjective","Spicy","5c68037e4ecdae0001d8b480","Both","both","senses"
"81","control subjective adjective","Spicy","60c298f8c2328dfe272401d2","Both","both","senses"
"82","control subjective adjective","Spicy","610711d4c064313c758fe4c2","Both","both","senses"
"83","control subjective adjective","Spicy","6095dae9237f2262b67d51b5","Is","is","senses"
"84","control subjective adjective","Spicy","60c3c8f790736ad8d329816b","Both","both","senses"
"85","control subjective adjective","Spicy","5fe70a2be144224fce79b148","Is","is","senses"
"86","control subjective adjective","Spicy","609d1224afa6945618b68f1f","Both","both","senses"
"87","control subjective adjective","Spicy","5f56a6646e11c111125188bc","Both","both","senses"
"88","control subjective adjective","Spicy","611cdb36b5b791e2174ee88b","Is","is","senses"
"89","control subjective adjective","Spicy","5f68d4c59b202b055cc873e5","Is","is","senses"
"90","control subjective adjective","Spicy","5ce7046a9390750017b64ac6","Both","both","senses"
"91","control subjective adjective","Spicy","5f7636517eea510aeb2e8433","Both","both","senses"
"92","control subjective adjective","Spicy","5e52e5e02d48ca3042df7f25","Both","both","senses"
"93","control subjective adjective","Spicy","5e5bd0b15bb3123a2e2a2c07","Both","both","senses"
"94","control subjective adjective","Spicy","5c5b50e8fbf35700018c8dde","Both","both","senses"
"95","control subjective adjective","Spicy","627e79a6e1f2b10601861ca6","Both","both","senses"
"96","control subjective adjective","Spicy","600713a1ef06551629886703","Both","both","senses"
"97","abstract concept","Heavy Metal","60ff265ad0d04a091f893b0b","Both","both","senses"
