Q3,natural kind,control subjective adjective,abstract concept,natural kind,artifact,abstract concept,natural kind,artifact,control precise definition,abstract concept,natural kind,artifact,abstract concept,natural kind,artifact,abstract concept,control subjective adjective,artifact,abstract concept,natural kind,control precise definition,artifact,control check,control check,control check
Please enter your Prolific ID. We cannot compensate you without this information.,water,spicy,heavy metal,tiger,fork,scientist,helium,kettle,square,mentor,zebra,chair,argument,raccoon,razor,artist,tall,harpoon,minister,gold,gallon,shovel,control honeybee,control comedian,control clock
5a01f46c074b19000125133c,Is not,Is not,Is,Both,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is not,Is,Both,Is,Is not,Is not,Is not,Both,Is not,Is not,Is not
60c1e5f03dac31bd0fb91294,Is,Is,Both,Both,Is,Both,Is,Is not,Is not,Is,Is,Is not,Both,Is,Is not,Is,Both,Is not,Both,Is,Both ,Is not,Is,Is not,Is not
61366473fa6785da70d75351,Is not,Both,Both,Is not,Both,Both,Both,Both,Is not,Is,Is not,Both,Both,Is not,Both,Both,Both,Both,Is not,Is not,Is not,Both,Is,Is,Is not
5b4917b046cf8d0001ae4383,Both,Both,Both,Both,Both,Both,Both,Is not,Is not,Is not,Both,Is not,Is not,Both,Is not,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both
5bd0c54825db7b00017865f2,Is not,Both,Both,Is not,Is,Both,Is not,Both,Is not,Both,Is not,Both,Is not,Is not,Both,Is,Both,Both,Is not,Is not,Is not,Is not,Is not,Is,Is not
60af4c6b1eabd1783a3078b5,Is not,Is,Is,Is,Is,Is,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is not,Both,Is,Is,Is,Is not,Is not,Is not,Is,Both,Is,Is not
60080f67b339b627a9b7c69e,Both,Is,Is,Is not,Is not,Both,Both,Is not,Is not,Both,Is,Is not,Is not,Is,Is not,Both,Both,Is not,Is,Both,Is not,Is not,Is,Is,Is not
5982ffdb06cd1f0001f8dda6,Both,Is,Both,Is not,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is,Both,Is not,Both,Both,Both,Both,Both,Is not,Both,Is not,Is,Is not
609d6d0e71d9db2825a6cc42,Is not,Both,Both,Is not,Both,Is not,Is not,Is not,Is not,Both,Both,Is not,Is not,Both,Is not,Is,Both,Is,Both,Is not,Is not,Is not,Both,Is,Is not
5e904b121b79af01dbfa37cf,Is not,Both,Is,Both,Is not,Is not,Is not,Is not,Is,Is not,Is not,Both,Is not,Is not,Is,Is,Is,Both,Is not,Is not,Both ,Is,Both,Is not,Is not
5dcfdf449b61040e3b923621,Is not,Both,Is,Is not,Is not,Is,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is,Both,Is not,Is,Is not,Is not,Is not,Is not,Is,Is not
610510964bd201870290e2fe,Is,Is,Both,Is not,Is,Is,Is,Is not,Is not,Is not,Is,Is not,Is not,Is,Is not,Is not,Is,Is,Is not,Is not,Is,Is not,Is,Is not,Is not
